date,precipitation
1/15/1914,9.76
2/15/1914,5.04
3/15/1914,1.09
4/15/1914,0.99
5/15/1914,0.37
6/15/1914,0.29
7/15/1914,0.02
8/15/1914,0
9/15/1914,0
10/15/1914,0.29
11/15/1914,0.7
12/15/1914,5.49
1/15/1915,6.64
2/15/1915,7.36
3/15/1915,3.02
4/15/1915,0.62
5/15/1915,3.17
6/15/1915,0
7/15/1915,0.01
8/15/1915,0
9/15/1915,0
10/15/1915,0.01
11/15/1915,0.92
12/15/1915,6.42
1/15/1916,14.59
2/15/1916,3.77
3/15/1916,1.33
4/15/1916,0
5/15/1916,0.07
6/15/1916,0
7/15/1916,0.03
8/15/1916,0.29
9/15/1916,1.2
10/15/1916,0.52
11/15/1916,1.5
12/15/1916,4.79
1/15/1917,1.83
2/15/1917,3.81
3/15/1917,1.42
4/15/1917,0.33
5/15/1917,0.06
6/15/1917,0
7/15/1917,0
8/15/1917,0
9/15/1917,0.02
10/15/1917,0
11/15/1917,0.81
12/15/1917,0.72
1/15/1918,0.81
2/15/1918,5.79
3/15/1918,2.73
4/15/1918,0.6
5/15/1918,0
6/15/1918,0
7/15/1918,0
8/15/1918,0
9/15/1918,2.53
10/15/1918,0.17
11/15/1918,5.6
12/15/1918,2.62
1/15/1919,2.57
2/15/1919,9.31
3/15/1919,2.74
4/15/1919,0.1
5/15/1919,0
6/15/1919,0
7/15/1919,0.01
8/15/1919,0
9/15/1919,0.39
10/15/1919,0.27
11/15/1919,0.44
12/15/1919,3.21
1/15/1920,0.26
2/15/1920,1.23
3/15/1920,3.25
4/15/1920,1.36
5/15/1920,0
6/15/1920,0.04
7/15/1920,0
8/15/1920,0
9/15/1920,0.13
10/15/1920,1.83
11/15/1920,2.7
12/15/1920,7.98
1/15/1921,6.3
2/15/1921,1.38
3/15/1921,2.28
4/15/1921,0.54
5/15/1921,2.54
6/15/1921,0
7/15/1921,0
8/15/1921,0
9/15/1921,0.35
10/15/1921,0.52
11/15/1921,1.43
12/15/1921,6.39
1/15/1922,2.41
2/15/1922,5.15
3/15/1922,2.38
4/15/1922,0.47
5/15/1922,0.55
6/15/1922,0.26
7/15/1922,0
8/15/1922,0
9/15/1922,0
10/15/1922,2.95
11/15/1922,3.77
12/15/1922,7.77
1/15/1923,2.84
2/15/1923,0.77
3/15/1923,0.03
4/15/1923,3.92
5/15/1923,0.06
6/15/1923,0.06
7/15/1923,0
8/15/1923,0.01
9/15/1923,0.44
10/15/1923,0.46
11/15/1923,0.49
12/15/1923,1.91
1/15/1924,2.75
2/15/1924,3.3
3/15/1924,1.96
4/15/1924,0.3
5/15/1924,0
6/15/1924,0
7/15/1924,0
8/15/1924,0.01
9/15/1924,0
10/15/1924,2.98
11/15/1924,1.5
12/15/1924,7.37
1/15/1925,1.62
2/15/1925,7.9
3/15/1925,2.63
4/15/1925,2.73
5/15/1925,4.02
6/15/1925,0.05
7/15/1925,0.06
8/15/1925,0
9/15/1925,0.45
10/15/1925,0.31
11/15/1925,2.32
12/15/1925,1.01
1/15/1926,5.48
2/15/1926,5.4
3/15/1926,0.25
4/15/1926,5.26
5/15/1926,0.15
6/15/1926,0
7/15/1926,0
8/15/1926,0.04
9/15/1926,0
10/15/1926,1.9
11/15/1926,7.21
12/15/1926,1.04
1/15/1927,3.77
2/15/1927,6.85
3/15/1927,2.19
4/15/1927,1.95
5/15/1927,0.1
6/15/1927,0.38
7/15/1927,0
8/15/1927,0
9/15/1927,0
10/15/1927,1.93
11/15/1927,3.18
12/15/1927,3.94
1/15/1928,2.4
2/15/1928,1.97
3/15/1928,4.65
4/15/1928,1.31
5/15/1928,0.26
6/15/1928,0
7/15/1928,0
8/15/1928,0
9/15/1928,0.03
10/15/1928,0.13
11/15/1928,3.35
12/15/1928,4.89
1/15/1929,1.32
2/15/1929,2.14
3/15/1929,1.56
4/15/1929,1.01
5/15/1929,0.01
6/15/1929,0.86
7/15/1929,0
8/15/1929,0
9/15/1929,0
10/15/1929,0.01
11/15/1929,0
12/15/1929,3.09
1/15/1930,4.99
2/15/1930,2.09
3/15/1930,3.53
4/15/1930,1.56
5/15/1930,0.16
6/15/1930,0
7/15/1930,0
8/15/1930,0
9/15/1930,0.1
10/15/1930,0.89
11/15/1930,1.56
12/15/1930,0.98
1/15/1931,5.5
2/15/1931,1.1
3/15/1931,1.68
4/15/1931,0.31
5/15/1931,1.1
6/15/1931,0.32
7/15/1931,0
8/15/1931,0
9/15/1931,0
10/15/1931,0.68
11/15/1931,2.93
12/15/1931,9.24
1/15/1932,3.23
2/15/1932,3
3/15/1932,0.86
4/15/1932,0.47
5/15/1932,0.65
6/15/1932,0.03
7/15/1932,0
8/15/1932,0
9/15/1932,0
10/15/1932,0.01
11/15/1932,1
12/15/1932,2.75
1/15/1933,5.68
2/15/1933,1.13
3/15/1933,2.93
4/15/1933,0.06
5/15/1933,1.36
6/15/1933,0.01
7/15/1933,0
8/15/1933,0
9/15/1933,0.14
10/15/1933,1.49
11/15/1933,0
12/15/1933,4.19
1/15/1934,1.03
2/15/1934,4.68
3/15/1934,0.07
4/15/1934,0.51
5/15/1934,0.12
6/15/1934,0.68
7/15/1934,0.01
8/15/1934,0
9/15/1934,0.13
10/15/1934,0.88
11/15/1934,3.76
12/15/1934,4.06
1/15/1935,6.23
2/15/1935,2.38
3/15/1935,2.31
4/15/1935,3.45
5/15/1935,0.01
6/15/1935,0
7/15/1935,0
8/15/1935,0.25
9/15/1935,0.08
10/15/1935,1.44
11/15/1935,1.24
12/15/1935,3.25
1/15/1936,5.77
2/15/1936,10.06
3/15/1936,1.01
4/15/1936,1.09
5/15/1936,0.49
6/15/1936,0.28
7/15/1936,0.03
8/15/1936,0.02
9/15/1936,0
10/15/1936,0.69
11/15/1936,0.01
12/15/1936,2.94
1/15/1937,5.26
2/15/1937,4.88
3/15/1937,7.05
4/15/1937,0.86
5/15/1937,0.06
6/15/1937,0.59
7/15/1937,0
8/15/1937,0
9/15/1937,0
10/15/1937,0.9
11/15/1937,2.46
12/15/1937,3.73
1/15/1938,2.65
2/15/1938,8.49
3/15/1938,5.73
4/15/1938,1.52
5/15/1938,0
6/15/1938,0
7/15/1938,0.01
8/15/1938,0
9/15/1938,0.15
10/15/1938,1.33
11/15/1938,0.88
12/15/1938,1.48
1/15/1939,3.07
2/15/1939,1.94
3/15/1939,2.62
4/15/1939,0.42
5/15/1939,0.63
6/15/1939,0
7/15/1939,0
8/15/1939,0
9/15/1939,1.06
10/15/1939,0.17
11/15/1939,0.2
12/15/1939,1.05
1/15/1940,9.98
2/15/1940,7.81
3/15/1940,5.32
4/15/1940,0.94
5/15/1940,0.63
6/15/1940,0.01
7/15/1940,0
8/15/1940,0
9/15/1940,0.59
10/15/1940,1.05
11/15/1940,2.22
12/15/1940,6.25
1/15/1941,8.24
2/15/1941,6.71
3/15/1941,4.75
4/15/1941,4.05
5/15/1941,1.18
6/15/1941,0.01
7/15/1941,0.01
8/15/1941,0.03
9/15/1941,0
